2024(令和6)年,国民生活基礎調査,,,,,,,
２所得票　第０８７表,世帯数，最多所得者の総所得に占める割合・所得金額階級別,,,,,,,
,,最多所得者の総所得に占める割合,,,,,,
,,50%未満,50~60,60~70,70~80,80~90,90~100,100%
世帯所得, 50万円未満,-,-,-,-,1,1,50
, 50~100,2,2,1,1,-,-,244
, 100~150,11,6,6,2,1,3,299
, 150~200,17,21,16,6,5,3,252
, 200~250,16,14,32,20,7,1,250
, 250~300,17,26,44,51,9,6,174
, 300~350,18,25,42,67,21,10,152
, 350~400,22,25,38,56,20,5,110
, 400~450,26,29,19,34,18,6,98
, 450~500,22,23,19,25,29,6,96
, 500~550,31,18,24,24,23,6,90
, 550~600,37,17,24,19,27,7,60
, 600~650,20,17,21,29,28,19,74
, 650~700,31,14,16,13,24,8,54
, 700~750,19,15,15,13,21,8,41
, 750~800,17,9,20,16,19,7,41
, 800~850,16,13,15,13,18,10,27
, 850~900,14,20,12,16,14,10,18
, 900~950,14,13,12,6,13,5,18
, 950~1000,12,10,15,10,6,11,17
, 1000~1100,29,18,21,11,12,11,37
, 1100~1200,24,14,17,13,4,3,21
, 1200~1500,39,32,21,15,17,15,33
, 1500~2000,39,32,17,6,9,8,16
, 2000万円以上,13,10,5,6,5,12,16
